#{"t_start": 1753632185.7505076, "env_id": "None"}
r,l,t
-45.0,30,6.190024
-48.0,30,6.217608
49.0,19,6.230045
52.0,21,6.245047
57.0,5,6.248252
58.0,4,6.255053
77.0,23,6.272175
50.0,20,6.288179
61.0,4,6.291069
57.0,2,6.295293
76.0,17,6.308361
-45.0,30,6.331187
112.0,19,6.345653
-48.0,30,6.37013
61.0,9,6.378089
42.0,23,6.398614
-12.0,30,6.421567
-26.0,30,6.447451
44.0,18,6.46236
-48.0,30,6.483049
100.0,16,6.493731
74.0,21,6.511741
60.0,8,6.51677
-36.0,30,6.539509
57.0,5,6.54372
57.0,2,6.549858
73.0,9,6.556309
-48.0,30,6.57844
64.0,3,6.58122
64.0,6,6.591792
-30.0,30,6.614233
-13.0,30,6.634864
-39.0,30,6.653519
-37.0,30,6.681599
70.0,11,6.687137
59.0,3,6.690413
60.0,17,6.701729
50.0,1,6.707722
-48.0,30,6.729696
52.0,10,6.739559
53.0,25,6.757557
29.0,27,6.782999
72.0,17,6.795454
46.0,16,6.811546
55.0,10,6.818132
-45.0,30,6.843064
53.0,28,6.863718
63.0,13,6.874709
63.0,15,6.886628
57.0,29,6.909675
53.0,15,6.919769
65.0,8,6.925865
61.0,20,6.941468
60.0,10,6.952228
57.0,13,6.96367
-42.0,30,6.984205
-37.0,30,7.008372
50.0,1,7.011644
46.0,19,7.029068
80.0,12,7.037302
57.0,11,7.043683
-14.0,30,7.068921
47.0,18,7.084436
-45.0,30,7.108255
-36.0,30,7.130477
-48.0,30,7.159674
65.0,5,7.162869
57.0,16,7.175086
45.0,23,7.192919
76.0,8,7.20281
57.0,2,7.203035
59.0,6,7.209084
48.0,28,7.234098
50.0,12,7.248562
58.0,4,7.252758
56.0,18,7.268409
50.0,1,7.270872
-48.0,30,7.297355
67.0,11,7.30697
84.0,16,7.318691
54.0,11,7.327818
-42.0,30,7.351757
85.0,10,7.360142
50.0,1,7.360632
-39.0,30,7.382962
127.0,22,7.408387
-48.0,30,7.429621
57.0,5,7.435221
57.0,2,7.435837
60.0,5,7.444101
49.0,19,7.459601
-20.0,30,7.484391
92.0,7,7.487862
65.0,8,7.498883
57.0,5,7.504697
57.0,5,7.508624
60.0,19,7.524939
55.0,13,7.53942
46.0,19,7.554774
-18.0,30,7.574176
57.0,2,7.577162
51.0,11,7.588188
59.0,3,7.591743
69.0,10,7.601609
64.0,9,7.608094
50.0,1,7.611432
67.0,29,7.634604
49.0,13,7.647866
57.0,16,7.659235
-42.0,30,7.686672
43.0,25,7.706009
51.0,22,7.723259
7.0,30,7.743226
-48.0,30,7.771064
49.0,13,7.778603
48.0,23,7.797685
60.0,8,7.805119
49.0,25,7.828924
60.0,13,7.84101
62.0,17,7.855989
52.0,13,7.863854
-45.0,30,7.886294
47.0,15,7.898435
61.0,15,7.912845
10.0,30,7.935037
46.0,22,7.956217
76.0,16,7.969086
78.0,22,7.985646
54.0,11,7.994783
68.0,13,8.006524
64.0,14,8.018453
51.0,14,8.030404
65.0,8,8.037755
53.0,9,8.049092
-42.0,30,8.072612
-20.0,30,8.096599
23.0,30,8.119641
28.0,28,8.144843
58.0,4,8.147911
51.0,17,8.160309
-33.0,30,8.184826
71.0,22,8.206189
54.0,24,8.222667
56.0,6,8.228289
-12.0,30,8.250367
57.0,5,8.260188
56.0,6,8.264782
58.0,7,8.27104
61.0,4,8.274556
54.0,14,8.289029
96.0,9,8.29788
55.0,7,8.301971
21.0,29,8.324915
71.0,13,8.337481
71.0,4,8.340167
-42.0,30,8.362779
59.0,3,8.366687
59.0,3,8.37397
57.0,5,8.377386
55.0,7,8.384311
46.0,27,8.411306
55.0,15,8.426427
-20.0,30,8.449204
