#{"t_start": 1753633972.2405934, "env_id": "None"}
r,l,t
58.0,4,4.955893
57.0,5,4.964154
59.0,3,4.966846
53.0,9,4.982248
57.0,2,4.98862
61.0,4,4.992036
58.0,4,5.001261
55.0,7,5.023668
58.0,4,5.028131
38.0,24,5.082358
57.0,5,5.093358
59.0,3,5.108865
57.0,5,5.122277
59.0,3,5.125364
57.0,5,5.136538
55.0,7,5.155342
59.0,3,5.158418
57.0,5,5.169074
58.0,4,5.17963
58.0,7,5.198793
59.0,3,5.202219
59.0,3,5.213051
57.0,5,5.226407
59.0,3,5.229569
58.0,4,5.239476
53.0,9,5.260378
59.0,3,5.270429
58.0,4,5.274804
59.0,3,5.286274
57.0,5,5.297013
57.0,5,5.305828
50.0,1,5.306634
39.0,23,5.360791
47.0,15,5.403913
52.0,10,5.431429
58.0,4,5.442573
58.0,4,5.447361
58.0,4,5.455548
57.0,5,5.46315
57.0,5,5.47141
58.0,4,5.477625
50.0,1,5.478415
59.0,3,5.484439
58.0,4,5.491246
55.0,7,5.500503
50.0,1,5.50131
59.0,3,5.507161
58.0,4,5.515155
56.0,9,5.527999
59.0,3,5.535094
56.0,6,5.544597
50.0,1,5.545765
58.0,7,5.558466
52.0,10,5.5749
50.0,1,5.576018
50.0,1,5.577077
59.0,9,5.59568
59.0,3,5.602219
50.0,1,5.603739
57.0,5,5.611814
57.0,5,5.619115
66.0,4,5.625474
57.0,5,5.632546
60.0,8,5.642343
53.0,9,5.655446
50.0,1,5.656316
57.0,5,5.663325
58.0,4,5.670259
58.0,10,5.68637
58.0,4,5.692415
33.0,26,5.728074
54.0,8,5.740505
55.0,7,5.748958
73.0,5,5.756878
58.0,4,5.763896
57.0,5,5.771701
58.0,4,5.779003
52.0,13,5.797516
59.0,3,5.804102
56.0,6,5.812506
65.0,5,5.818875
57.0,5,5.825517
59.0,3,5.830976
64.0,7,5.838983
50.0,1,5.839736
57.0,2,5.844644
55.0,7,5.852418
57.0,2,5.853838
57.0,5,5.860369
58.0,4,5.866127
57.0,2,5.870611
62.0,9,5.881529
57.0,2,5.88697
45.0,17,5.91248
58.0,4,5.920463
58.0,4,5.92892
56.0,6,5.941074
58.0,4,5.949228
58.0,4,5.957624
