#{"t_start": 1753632985.960206, "env_id": "None"}
r,l,t
-48.0,30,6.232446
57.0,5,6.236281
-48.0,30,6.350451
58.0,4,6.353137
56.0,6,6.356923
50.0,1,6.357656
63.0,7,6.362791
59.0,9,6.368701
58.0,4,6.371388
57.0,5,6.37517
54.0,11,6.383632
59.0,3,6.386048
59.0,6,6.391222
59.0,3,6.393842
64.0,3,6.39623
58.0,4,6.399381
56.0,6,6.404
60.0,8,6.41029
59.0,12,6.418144
66.0,4,6.421162
56.0,6,6.426452
66.0,4,6.430065
54.0,8,6.544189
57.0,5,6.548893
66.0,4,6.552146
74.0,7,6.557578
64.0,14,6.568314
62.0,8,6.574517
59.0,3,6.576902
60.0,5,6.580927
68.0,5,6.584939
66.0,7,6.590281
52.0,13,6.600275
-48.0,30,6.623734
72.0,9,6.63183
59.0,3,6.63462
59.0,3,6.637118
74.0,7,6.642559
78.0,8,6.738595
50.0,1,6.739868
80.0,9,6.749453
49.0,13,6.760606
50.0,1,6.761731
50.0,1,6.762806
57.0,8,6.768863
64.0,3,6.771439
67.0,10,6.77899
58.0,4,6.782643
59.0,6,6.787418
63.0,5,6.791338
74.0,8,6.79808
59.0,6,6.802882
52.0,10,6.810486
57.0,2,6.812103
68.0,10,6.820069
49.0,13,6.830049
59.0,6,6.834752
72.0,6,6.939331
69.0,9,6.946565
55.0,7,6.952243
68.0,8,6.958405
55.0,10,6.966203
59.0,3,6.968599
54.0,8,6.974704
59.0,3,6.977167
59.0,3,6.980915
54.0,8,6.987193
59.0,3,6.989557
59.0,6,6.995081
49.0,13,7.00491
29.0,29,7.026859
56.0,6,7.031461
24.0,29,7.149309
51.0,11,7.158238
64.0,6,7.162907
57.0,2,7.164656
57.0,2,7.166335
57.0,2,7.167966
57.0,2,7.169586
56.0,6,7.174131
64.0,6,7.178685
59.0,11,7.18795
101.0,9,7.194871
68.0,5,7.199199
69.0,9,7.205203
50.0,1,7.205932
38.0,24,7.223733
65.0,6,7.228627
55.0,7,7.234192
55.0,7,7.326045
57.0,5,7.33003
59.0,3,7.332498
79.0,10,7.340158
73.0,5,7.343553
50.0,1,7.344378
58.0,4,7.347701
64.0,3,7.350194
43.0,22,7.368822
63.0,7,7.374013
66.0,4,7.376608
50.0,12,7.38572
59.0,3,7.388301
62.0,6,7.393038
50.0,1,7.39397
56.0,6,7.398679
73.0,5,7.402116
92.0,10,7.409921
52.0,10,7.417686
58.0,4,7.421047
61.0,9,7.513585
110.0,21,7.527719
56.0,6,7.53245
53.0,9,7.539518
215.0,28,7.55929
71.0,11,7.567088
121.0,16,7.578379
50.0,1,7.579624
55.0,7,7.585056
57.0,5,7.588594
82.0,7,7.594421
84.0,10,7.696632
56.0,9,7.704224
55.0,7,7.708822
89.0,8,7.715189
184.0,22,7.731265
41.0,21,7.747522
91.0,15,7.759871
80.0,9,7.767111
74.0,17,7.778761
105.0,13,7.789797
72.0,7,7.895429
50.0,1,7.896492
74.0,15,7.908393
60.0,5,7.91168
56.0,6,7.916386
55.0,7,7.921025
120.0,16,7.934627
53.0,9,7.942649
67.0,27,7.963534
48.0,14,7.973037
68.0,8,7.97818
51.0,11,7.985906
107.0,15,8.076397
57.0,5,8.080268
114.0,20,8.094524
42.0,20,8.108444
42.0,20,8.123064
78.0,5,8.126348
96.0,9,8.133492
189.0,26,8.151524
57.0,5,8.155445
75.0,10,8.163901
57.0,2,8.247959
78.0,8,8.25443
57.0,5,8.258194
156.0,26,8.275518
55.0,10,8.282934
58.0,7,8.28751
142.0,19,8.300546
92.0,7,8.306091
59.0,3,8.308711
93.0,9,8.316511
64.0,3,8.319286
59.0,3,8.322026
114.0,18,8.336066
58.0,4,8.339452
58.0,4,8.342106
58.0,4,8.438369
52.0,18,8.453096
63.0,30,8.475908
55.0,7,8.48183
50.0,1,8.482867
55.0,7,8.488518
41.0,21,8.505519
-48.0,30,8.528584
50.0,1,8.529577
37.0,25,8.659691
27.0,30,8.68354
108.0,10,8.691063
132.0,20,8.705638
77.0,12,8.713359
76.0,30,8.73623
79.0,8,8.741455
50.0,1,8.742217
42.0,23,8.846341
85.0,6,8.851812
58.0,4,8.854473
50.0,12,8.863625
89.0,11,8.871439
52.0,10,8.879106
55.0,7,8.884495
58.0,4,8.887602
93.0,9,8.893947
141.0,14,8.902985
74.0,7,8.910644
59.0,3,8.91405
58.0,4,8.918566
16.0,30,9.03036
29.0,27,9.051616
163.0,30,9.073357
89.0,8,9.07988
61.0,4,9.084309
84.0,19,9.099668
172.0,28,9.223825
37.0,27,9.245355
62.0,6,9.250364
50.0,1,9.251392
62.0,6,9.255865
49.0,13,9.264787
60.0,5,9.268973
45.0,25,9.288387
127.0,12,9.297543
53.0,9,9.30479
171.0,30,9.416679
131.0,30,9.439697
58.0,7,9.444455
124.0,30,9.464322
42.0,23,9.480511
29.0,29,9.501184
56.0,14,9.590059
46.0,16,9.600621
85.0,6,9.60527
59.0,9,9.61101
171.0,30,9.630745
40.0,22,9.648839
65.0,5,9.653066
85.0,6,9.657127
200.0,28,9.756351
59.0,3,9.758491
53.0,9,9.764301
58.0,7,9.769497
184.0,30,9.789376
81.0,14,9.798391
213.0,27,9.816849
64.0,3,9.819618
55.0,7,9.82562
-33.0,30,9.943813
144.0,30,9.966961
42.0,20,9.981986
37.0,25,9.999844
138.0,18,10.011768
58.0,4,10.014362
121.0,23,10.115187
51.0,11,10.12421
66.0,7,10.129598
124.0,19,10.142891
208.0,27,10.160418
53.0,9,10.166677
50.0,1,10.167608
115.0,14,10.176429
63.0,5,10.180035
69.0,14,10.189547
59.0,3,10.191525
90.0,12,10.199124
58.0,4,10.20225
121.0,25,10.302195
45.0,17,10.312881
50.0,1,10.313602
66.0,13,10.323311
59.0,6,10.327904
58.0,12,10.337252
6.0,30,10.360545
50.0,1,10.361328
62.0,30,10.466603
158.0,30,10.488921
154.0,18,10.50248
59.0,3,10.504943
101.0,9,10.511336
57.0,8,10.516789
60.0,11,10.525796
108.0,13,10.535717
60.0,5,10.538944
57.0,2,10.540458
71.0,4,10.543641
73.0,16,10.554505
56.0,6,10.645941
151.0,18,10.659805
44.0,18,10.673058
155.0,30,10.694072
56.0,6,10.698893
169.0,30,10.721516
52.0,13,10.731123
155.0,30,10.826291
147.0,30,10.849705
54.0,11,10.859259
63.0,10,10.867167
141.0,17,10.880563
-39.0,30,10.903609
55.0,7,10.909725
112.0,14,11.004462
53.0,9,11.010199
64.0,14,11.02006
82.0,10,11.027635
52.0,10,11.035267
50.0,1,11.036171
192.0,30,11.056878
77.0,12,11.065164
50.0,15,11.074896
50.0,1,11.075624
67.0,6,11.079777
84.0,10,11.165944
142.0,30,11.188155
226.0,27,11.206922
66.0,13,11.21509
65.0,5,11.21854
70.0,8,11.223682
57.0,2,11.225022
56.0,6,11.228797
59.0,6,11.232644
63.0,8,11.239089
72.0,6,11.243057
59.0,6,11.246921
55.0,13,11.3403
212.0,30,11.364303
